building_code,timestamp,windspeed_val,precipitation_val,intervention_id
BREST001,2025-11-02T12:00:00,8.63,0.68,no-alert
BREST001,2025-11-02T15:00:00,8.31,1.25,no-alert
BREST001,2025-11-02T18:00:00,6.23,0.29,no-alert
BREST001,2025-11-02T21:00:00,5.52,0.0,no-alert
BREST001,2025-11-03T00:00:00,7.4,0.13,no-alert
BREST001,2025-11-03T03:00:00,7.25,0.0,no-alert
BREST001,2025-11-03T06:00:00,7.87,0.0,no-alert
BREST001,2025-11-03T09:00:00,9.19,0.16,no-alert
BREST001,2025-11-03T12:00:00,8.58,0.17,no-alert
BREST001,2025-11-03T15:00:00,9.05,0.14,no-alert
BREST001,2025-11-03T18:00:00,8.58,0.22,no-alert
BREST001,2025-11-03T21:00:00,9.47,0.0,no-alert
BREST001,2025-11-04T00:00:00,10.0,0.1,no-alert
BREST001,2025-11-04T03:00:00,10.2,0.0,no-alert
BREST001,2025-11-04T06:00:00,10.0,0.0,no-alert
BREST001,2025-11-04T09:00:00,9.72,0.0,no-alert
BREST001,2025-11-04T12:00:00,10.9,1.37,no-alert
BREST001,2025-11-04T15:00:00,11.48,3.24,no-alert
BREST001,2025-11-04T18:00:00,12.41,1.58,no-alert
BREST001,2025-11-04T21:00:00,11.85,1.58,no-alert
BREST001,2025-11-05T00:00:00,10.57,0.22,no-alert
BREST001,2025-11-05T03:00:00,8.2,0.25,no-alert
BREST001,2025-11-05T06:00:00,9.7,1.1,no-alert
BREST001,2025-11-05T09:00:00,10.93,0.59,no-alert
BREST002,2025-11-02T12:00:00,8.63,0.68,no-alert
BREST002,2025-11-02T15:00:00,8.31,1.25,no-alert
BREST002,2025-11-02T18:00:00,6.23,0.29,no-alert
BREST002,2025-11-02T21:00:00,5.52,0.0,no-alert
BREST002,2025-11-03T00:00:00,7.4,0.13,no-alert
BREST002,2025-11-03T03:00:00,7.25,0.0,no-alert
BREST002,2025-11-03T06:00:00,7.87,0.0,no-alert
BREST002,2025-11-03T09:00:00,9.19,0.16,no-alert
BREST002,2025-11-03T12:00:00,8.58,0.17,no-alert
BREST002,2025-11-03T15:00:00,9.05,0.14,no-alert
BREST002,2025-11-03T18:00:00,8.58,0.22,no-alert
BREST002,2025-11-03T21:00:00,9.47,0.0,no-alert
BREST002,2025-11-04T00:00:00,10.0,0.1,no-alert
BREST002,2025-11-04T03:00:00,10.2,0.0,no-alert
BREST002,2025-11-04T06:00:00,10.0,0.0,no-alert
BREST002,2025-11-04T09:00:00,9.72,0.0,no-alert
BREST002,2025-11-04T12:00:00,10.9,1.37,no-alert
BREST002,2025-11-04T15:00:00,11.48,3.24,no-alert
BREST002,2025-11-04T18:00:00,12.41,1.58,no-alert
BREST002,2025-11-04T21:00:00,11.85,1.58,no-alert
BREST002,2025-11-05T00:00:00,10.57,0.22,no-alert
BREST002,2025-11-05T03:00:00,8.2,0.25,no-alert
BREST002,2025-11-05T06:00:00,9.7,1.1,no-alert
BREST002,2025-11-05T09:00:00,10.93,0.59,no-alert
RENNES001,2025-11-02T12:00:00,7.38,0.0,no-alert
RENNES001,2025-11-02T15:00:00,5.9,0.0,no-alert
RENNES001,2025-11-02T18:00:00,3.95,0.11,no-alert
RENNES001,2025-11-02T21:00:00,3.42,0.0,no-alert
RENNES001,2025-11-03T00:00:00,3.33,0.0,no-alert
RENNES001,2025-11-03T03:00:00,3.43,0.0,no-alert
